InvoiceMonth,Country,Revenue,Orders,ActiveCustomers,UnitsSold,AOV
2011-01-01,Switzerland,4231.23,3,3,2993,1410.4099999999999
2011-02-01,Switzerland,2654.92,5,4,1107,530.984
2011-03-01,Switzerland,1870.23,3,3,986,623.41
2011-04-01,Switzerland,2076.94,4,2,886,519.235
2011-05-01,Switzerland,3610.0099999999998,3,3,2249,1203.3366666666666
2011-06-01,Switzerland,7904.15,4,4,3970,1976.0375
2011-07-01,Switzerland,3762.65,5,4,1615,752.53
2011-08-01,Switzerland,4969.89,3,3,2998,1656.63
2011-09-01,Switzerland,8284.86,7,5,4255,1183.5514285714287
2011-10-01,Switzerland,7655.19,6,5,4532,1275.865
2011-11-01,Switzerland,8118.96,6,4,3777,1353.16
2010-06-01,Thailand,1956.84,1,1,2028,1956.84
2010-07-01,Thailand,1113.7,1,1,524,1113.7
2009-12-01,USA,141.0,1,1,1,141.0
2010-01-01,USA,2289.59,5,2,1344,457.918
2010-05-01,USA,416.31,2,1,413,208.155
2010-06-01,USA,896.0699999999999,4,2,551,224.01749999999998
2010-07-01,USA,508.1,1,1,134,508.1
2010-10-01,USA,132.8,1,1,129,132.8
2010-11-01,USA,402.59999999999997,1,1,234,402.59999999999997
2011-04-01,USA,383.95,1,1,137,383.95
2011-10-01,USA,2311.2,2,2,1717,1155.6
2011-12-01,USA,885.24,2,2,604,442.62
2009-12-01,United Arab Emirates,517.7,1,1,520,517.7
2010-02-01,United Arab Emirates,1310.3000000000002,1,1,798,1310.3000000000002
2010-03-01,United Arab Emirates,1201.52,1,1,1359,1201.52
2010-08-01,United Arab Emirates,2047.28,1,1,1364,2047.28
2010-10-01,United Arab Emirates,509.92,2,1,351,254.96
2010-11-01,United Arab Emirates,1713.69,2,1,465,856.845
2011-02-01,United Arab Emirates,889.24,1,1,496,889.24
2011-09-01,United Arab Emirates,1013.04,2,1,486,506.52
2009-12-01,United Kingdom,610346.63,1429,904,360350,427.1145066480056
2010-01-01,United Kingdom,415120.502,906,663,236118,458.1903995584989
2010-02-01,United Kingdom,409265.826,1001,713,234173,408.856969030969
2010-03-01,United Kingdom,587165.941,1396,984,384039,420.6059749283668
2010-04-01,United Kingdom,500798.551,1222,876,290254,409.8187815057283
2010-05-01,United Kingdom,501394.56,1270,901,326996,394.7988661417323
2010-06-01,United Kingdom,538672.61,1377,968,331496,391.1928903413217
2010-07-01,United Kingdom,502350.0,1272,856,279812,394.9292452830189
2010-08-01,United Kingdom,506470.04,1193,849,313328,424.534819782062
2010-09-01,United Kingdom,679069.921,1515,1048,478908,448.2309709570957
2010-10-01,United Kingdom,875722.88,1941,1379,503353,451.17098402885114
2010-11-01,United Kingdom,977832.812,2373,1486,552279,412.06608175305524
2010-12-01,United Kingdom,773911.5,1291,815,405615,599.4666924864446
2011-01-01,United Kingdom,440876.33,874,647,277650,504.4351601830664
2011-02-01,United Kingdom,354618.2,896,679,212792,395.7792410714286
2011-03-01,United Kingdom,465784.19,1177,880,275385,395.738479184367
2011-04-01,United Kingdom,408733.111,1058,784,259592,386.32619187145553
2011-05-01,United Kingdom,550359.35,1403,962,301113,392.27323592302207
2011-06-01,United Kingdom,523775.59,1249,889,280321,419.3559567654124
2011-07-01,United Kingdom,484545.591,1200,859,301552,403.78799250000003
2011-08-01,United Kingdom,497194.91000000003,1133,834,310101,438.8304589585172
2011-09-01,United Kingdom,794806.692,1568,1146,453420,506.8920229591837
2011-10-01,United Kingdom,821220.13,1705,1230,474668,481.65403519061584
2011-11-01,United Kingdom,975251.39,2386,1505,568167,408.7390569991618
2011-12-01,United Kingdom,471381.82,706,560,259971,667.6796317280454
2010-01-01,Unspecified,1035.1,2,2,382,517.55
2010-04-01,Unspecified,252.51999999999998,1,1,153,252.51999999999998
2010-07-01,Unspecified,2379.88,2,1,1276,1189.94
2010-09-01,Unspecified,1978.15,2,2,1256,989.075
2010-11-01,Unspecified,300.93,1,1,261,300.93
2011-04-01,Unspecified,299.1,1,1,282,299.1
2011-05-01,Unspecified,852.68,1,1,654,852.68
2011-06-01,Unspecified,185.78,1,1,78,185.78
2011-07-01,Unspecified,792.18,3,2,586,264.06
2011-08-01,Unspecified,531.03,2,2,185,265.515
2010-08-01,West Indies,536.41,1,1,395,536.41
